F0400001A2072_177_07,佢尋毋著身分證在間項緊揙你在揙麼个東西
F0400001A2072_178_07,這片个草仔𠊎割差毋多哩續等就交分你收尾
F0400001A2072_179_07,參詳事情愛講道理係橫橫擎定著毋會有結果
F0400001A2072_18_07,客來正掃屋賊走緊關門
F0400001A2072_180_07,毋好煮恁多屋下淨兩儕人食毋去倒忒當打爽
F0400001A2072_181_07,係無係毋係做得無做毋得做得你曉得無
F0400001A2072_182_07,細嬰兒仔雖然有多少仔臭乳臊毋過盡得人惜
F0400001A2072_183_07,北迴鐵路經過當多山火車在暗窿肚鑽來鑽去
F0400001A2072_184_07,這臺車仔仰會停在路徑頭煞煞喊車主來徙位
F0400001A2072_185_07,阿義个手目毋堵好參著嗄㪐腕實在還衰喲
F0400001A2072_186_07,這豬油放忒久鼻起來當臭油垢怕係壞忒哩
F0400001A2072_187_07,滿叔个性體當好又當熱心毋過佢係一個呱牯
F0400001A2072_188_07,犯法愛接受司法个審判佢對自家無半息自信
F0400001A2072_189_07,過年屋下大拚掃阿姊拿水管對等窗門洩水
F0400001A2072_19_07,山中無老虎猴哥做大王
F0400001A2072_190_07,兩隻禮拜第一類分類兩團亼好个粄粹
F0400001A2072_191_07,一日三餐兩點心總統一任係四年兩擐粽仔
F0400001A2072_192_07,鐘聲一響學生仔緊拚拚仔行入教室準備上課
F0400001A2072_193_07,這屋仔正兩棧樓定定分粄仔摎人分飯食
F0400001A2072_194_07,天光日幾多儕會來過無幾久阿美就愛嫁哩
F0400001A2072_195_07,阿姆逐禮拜去學插花講著食哦佢打第一
F0400001A2072_196_07,𠊎今晡日懶尸帶飯當晝去外背食大麵就好
F0400001A2072_197_07,天外有天人外有人一個人絕對毋好自大
F0400001A2072_198_07,入門係看著一張臭屎面會虐削到企坐毋核
F0400001A2072_199_07,這老車仔輒輒駛到半路就恬忒異無結煞
F0400001A2072_2_07,新聞紙做衫一身數
F0400001A2072_20_07,三十暗晡个紅包細人歡喜大人愁
F0400001A2072_200_07,無腦屎係無恁簡單个事你到今還看毋真
F0400001A2072_21_07,罔嗒染紅卵釘書躍往上汁桶一等慶
F0400001A2072_22_07,拂尾腳腫腫相詏跋梯排罔看嘴腫腫
F0400001A2072_23_07,綢緞眠一下面衫拖箱角勼水禾鐮仔
F0400001A2072_24_07,胭脂撍印仔耳環紙伯仔䯋鍊菸截仔
F0400001A2072_25_07,彈鋼琴打鼓仔合唱團一齣戲打野球
F0400001A2072_26_07,排球課打乒乓碩士班數學課體育課
F0400001A2072_27_07,寄信仔駛轎車食尾牙一幅畫第五屆
F0400001A2072_28_07,九公尺一公分一坵田一群人一落碗
F0400001A2072_29_07,一罐麥酒燜糯米飯時代背景萬事如意
F0400001A2072_3_07,麼个藤結麼个瓜麼个人講麼个話
F0400001A2072_30_07,無分黨派高票當選空軍基地防空演習
F0400001A2072_31_07,擎钁頭剷草電火扚著來手分門夾著
F0400001A2072_32_07,梅花係國花滿山个芒花出去遶光景
F0400001A2072_33_07,天時恁熱出去晒會熱著
F0400001A2072_34_07,鏡仔跌到地泥項必忒吔
F0400001A2072_35_07,佢生來靚靚仔算異耐看
F0400001A2072_36_07,李仔酸合澀食吔胃糟糟
F0400001A2072_37_07,緊講話又緊掞腳當無禮貌
F0400001A2072_38_07,過目關咧針線空就桊毋過
F0400001A2072_39_07,在𠊎印象肚佢對人當好
F0400001A2072_4_07,正有錢莫買田正有穀莫買屋
F0400001A2072_40_07,係食著毋合肚个東西會噎酸
F0400001A2072_41_07,天頂个星宿恁多你識幾多粒
F0400001A2072_42_07,五月節鹿港有辦划龍船比賽
F0400001A2072_43_07,恁久無看著你高加異多哦
F0400001A2072_44_07,老弟用砂鐐同花盆个泥鋪平來
F0400001A2072_45_07,開賭場个頭家會抽頭分紅
F0400001A2072_46_07,聽著這消息厥面跈等就轉色哩
F0400001A2072_47_07,閒亍亍逐日在菜園項改菜園
F0400001A2072_48_07,佢係發性起來麼人个話都毋聽
F0400001A2072_49_07,這餅仔恁燥無傍茶吞毋落胲
F0400001A2072_5_07,肥田禾瘦田穀
F0400001A2072_50_07,佢毋曉得使筷仔挾毋著菜來食
F0400001A2072_51_07,姐婆个大聲胲遠遠就聽得著
F0400001A2072_52_07,先生吂講佢就同課本掀好勢吔
F0400001A2072_53_07,佢對樓頂倒頭種跌下來異傷重
F0400001A2072_54_07,頭前出車禍車仔全在路項卡等
F0400001A2072_55_07,阿爸使媒人婆去阿碌伯屋下講親
F0400001A2072_56_07,講話會漏風成時連嘴都合毋密
F0400001A2072_57_07,這駁仔有打折來去看有麼个好買
F0400001A2072_58_07,佢兜一屋下人靠厥爸食月給過日仔
F0400001A2072_59_07,佢毋知食恁多麼个打个屁當臭
F0400001A2072_6_07,目睡鳥自有飛來蟲
F0400001A2072_60_07,佢兩儕鬥股愛開一間便利商店
F0400001A2072_61_07,阿姆在學校教書明年愛退休咧
F0400001A2072_62_07,阿明牯个面項有當多幼幼仔个寒毛
F0400001A2072_63_07,對山頭看啊過去係一大片个樹林
F0400001A2072_64_07,愛用文字記錄下來正毋會毋記得
F0400001A2072_65_07,這尾魚仔有幼骨愛食該下愛注意
F0400001A2072_66_07,這下愛赴時間你行較遽兜仔好無
F0400001A2072_67_07,蘿蔔絲愛勻開來晒無斯晒毋會燥
F0400001A2072_68_07,阿伯公个字墨盡飽講四句隨口來
F0400001A2072_69_07,阿姊失戀該站仔在齋堂歇好久
F0400001A2072_70_07,看著佢平安轉來大家就寬心哩
F0400001A2072_71_07,右手毋會作力連飯碗都兜毋起來
F0400001A2072_72_07,老妹當好搞水逐擺就講愛去河壩
F0400001A2072_73_07,還孤盲餅仔分老鼠仔食到無半息
F0400001A2072_74_07,佢無帶著課本故所摎同學共下看
F0400001A2072_75_07,老弟無帶錢𠊎先同佢墊錢買下來
F0400001A2072_76_07,看著擐大肚个人愛讓位仔分佢坐
F0400001A2072_77_07,若聲愛降低兜仔無會吵著人睡目
F0400001A2072_78_07,自家做得著就自家來莫緊麻煩人
F0400001A2072_79_07,細人仔恁硬頸定著愛教正毋會學壞
F0400001A2072_8_07,為老不尊教壞子孫
F0400001A2072_80_07,在屋下𠊎座大下背還有三個老妹
F0400001A2072_81_07,你怕異會煮哦倈仔隻隻畜到恁大仙
F0400001A2072_82_07,該件事𠊎自家會處理毋使你煩勞
F0400001A2072_83_07,樓頂个空間當闊你做得放當多東西
F0400001A2072_84_07,逐朝晨為著赴車七早八早就愛䟘床
F0400001A2072_85_07,佢當有才毋單淨會唱歌仔還當會做戲
F0400001A2072_86_07,歸日仔講無停一下無堵好就會失聲
F0400001A2072_87_07,開始該下無看著阿文臨尾佢正走等來
F0400001A2072_88_07,救生員跳落海肚救吔一個浸著个細人仔
F0400001A2072_89_07,拚死拚命做事賺个錢拿去賭徼輸淨淨
F0400001A2072_9_07,食飯打赤膊做事尋衫著
F0400001A2072_90_07,後生人最驚老人家噥巴掌嫲盪啊過去
F0400001A2072_91_07,毋好枵鬼假細義恁仔堵來堵去當壞看
F0400001A2072_92_07,佢做生理失敗咧目𥍉𥍉仔異衰過
F0400001A2072_93_07,恁熱个天時還同窗門關揫揫會翕死哦
F0400001A2072_94_07,昨晡日行忒悿朝晨䟘床還撐腿撐腿
F0400001A2072_95_07,下晝頭正做事个人較少車枋就放冗吔
F0400001A2072_96_07,天時恁熱食一罐冰冰个涼水異舒爽
F0400001A2072_97_07,這品菜鼻起來香噴噴仔食起來無見奇
F0400001A2072_98_07,你逐擺都係講話無算數難怪會博人惱
F0400001A2072_99_07,阿明做事一還一二還二毋會烏白來
F0400001D3072_1_07,割禾了阿公摎阿禮伯三子叔割麻竹脣該坵
F0400001D3072_10_07,負責在峎頂牛眼樹下搭信田坵肚个信息
F0400001D3072_11_07,禾鐮仔毋罅
F0400001D3072_12_07,哼你兜比手畫腳𠊎乜看有
F0400001D3072_13_07,阿婆阿婆大坵嫲會割忒了
F0400001D3072_14_07,上晝米篩目下晝綠豆湯仙草點心有準備了
F0400001D3072_15_07,桌心有雞盤還過煲豬腳炆鴨湯炒肉
F0400001D3072_16_07,食晝乜全全歸劃好了因為阿婆係好面子个伙頭軍師
F0400001D3072_17_07,大舅姆掌大鑊細舅姆掌細鑊阿姊掌睍等點心个細猴仔
F0400001D3072_18_07,屋肚人有屋肚人个割禾事食點心了擔竿兩頭个菜籃肚
F0400001D3072_19_07,一鑊係鹹个米篩目一鑊係甜个米篩目
F0400001D3072_2_07,細舅阿漢伯阿富叔子爺仔割大坵嫲
F0400001D3072_20_07,鑊仔四沿有淨俐个碗筷
F0400001D3072_21_07,大家放尞來食點心了
F0400001D3072_22_07,企在大衿衫腳下阿婆衫袖擛出腦油香个風
F0400001D3072_23_07,面前係一片臘黃个田坵煞猛个人情四面八方迎過來个熱情
F0400001D3072_24_07,𠊎用目珠享受該割禾畫面真靚後日阿禮伯割禾
F0400001D3072_25_07,大家愛記得哦三子叔來摎𫣆𢯭手一日係三工人
F0400001D3072_26_07,三工愛還人錢請人做事有罅尷尬
F0400001D3072_27_07,換工係頭擺人同人之間
F0400001D3072_28_07,貼心又真意个人情交流禾割忒了禾頭田一片開洋
F0400001D3072_29_07,臨暗仔跈大姊帶一竇鴨仔去拈禾串仔鴨仔孔孔翹翹食一肚飽
F0400001D3072_3_07,大舅掌斛桶細哥抔穀大哥擎穀包
F0400001D3072_30_07,𠊎兜分二姊講个笑科𢫦到翹翹橫禾埕肚堆起一片金黃
F0400001D3072_31_07,阿舅摎阿哥一儕人一片使等蕩耙嘿唷
F0400001D3072_32_07,蕩耙拉起一壟一壟个穀
F0400001D3072_33_07,黃金色个穀堆上穀堆笑容乜堆上戶檻肚阿公个面容
F0400001D3072_34_07,阿太太傳到阿公手个河壩田該年寫等豐收
F0400001D3072_35_07,南庄市場對面伯公崁下有一條圳溝
F0400001D3072_36_07,圳溝脣擺有幾隻石枋探過圳溝兩片
F0400001D3072_37_07,到今還有人在該洗兜衫褲洗兜盆頭鑊蓋
F0400001D3072_38_07,當地个人安佢洗衫坑洗衫坑係來南庄遊覽个人客
F0400001D3072_39_07,輒常會去遶尞个地方
F0400001D3072_4_07,𠊎在峎頂看往下河壩兩片都係黃臘臘仔个禾仔
F0400001D3072_40_07,遊客順續洗手洗面感受圳溝水个淨俐摎清涼
F0400001D3072_41_07,再過去逛脣頭鬧熱个桂花巷同老街講乜奇怪
F0400001D3072_42_07,本旦莊下哪位就有个圳溝這下變做南庄知名个景點
F0400001D3072_43_07,聽投入社區營造多年阿有哥講
F0400001D3072_44_07,2001年南庄進行桂花巷空間營造
F0400001D3072_45_07,社區人共下為脣頭附近个所在來正名
F0400001D3072_46_07,同桂花巷洗衫坑乃木崎老郵局老楓樹下這兜名仔
F0400001D3072_47_07,正式紹介到政府機關傳播媒體裡肚漸漸仔
F0400001D3072_48_07,這兜原旦在社區流傳个地名行銷到通臺灣去囉
F0400001D3072_49_07,每一個地名就有屬於厥个故事洗衫坑當然乜有
F0400001D3072_5_07,河壩這片个田坵肚
F0400001D3072_50_07,毋知儕會問這鮮鮮涼涼个洗衫坑水係對哪位來个
F0400001D3072_51_07,來跈等洗衫坑水向源頭行往上
F0400001D3072_52_07,你就會發現這清清淨淨个圳溝水
F0400001D3072_53_07,來自一條河壩安到大東河
F0400001D3072_54_07,這就係講洗衫坑水係對大東河作陂開圳流啊下來个
F0400001D3072_55_07,頭擺人一钁頭一钁頭改一畚箕一畚箕㧡
F0400001D3072_56_07,大石一隻一隻疊細石一隻一隻楔
F0400001D3072_57_07,毋知愛花幾多心神幾多人工幾多時間
F0400001D3072_58_07,正開出一條圳溝來河壩水跈等圳溝
F0400001D3072_59_07,流入陂頭水汴頭
F0400001D3072_6_07,歸半莊仔叔伯煞手个左手一抓右手一拉摎田項熟水个禾仔
F0400001D3072_60_07,分南庄街路項人使用分下背个耕種人灌溉
F0400001D3072_61_07,再跈等田圳流入中港溪洗衫坑就在流入南庄街个水圳脣
F0400001D3072_62_07,在該自來水還吂有个年代莊項人就擐到這位个水來暖水洗身
F0400001D3072_63_07,放幾垤石枋來這位洗衫洗褲㓾雞捋鴨洗這洗該
F0400001D3072_64_07,共下在這位譫誃打嘴鼓
F0400001D3072_65_07,洗衫坑變做係一個消息交換同放送个地方
F0400001D3072_66_07,三不二時圳溝肚个魚仔蝦公乜會來襯鬧熱喔
F0400001D3072_67_07,洗衫坑水流啊流流出大東河
F0400001D3072_68_07,流入南庄街流出開圳作陂个故事
F0400001D3072_69_07,流入洗洗湯湯个生活流出頭擺个生命流入現代个繁華
F0400001D3072_7_07,一角一角仔變做一堆一堆个禾稈摎一袋一袋仔个穀包
F0400001D3072_8_07,擎穀包个大哥緊腳个一蹶一箭上崎來了
F0430001A2019_1_07,人吂到聲先到
F0430001A2019_10_07,在家千日好出門半朝難
F0430001A2019_100_07,走幾下轉學校同你送課本正經搣衰人
F0430001A2019_101_07,麼人亂傳話外背人講到當難聽你知無
F0430001A2019_102_07,這女主角雖然講毋係當靚毋過當耐看
F0430001A2019_103_07,屋下玩具一千擔分佢隻把仔搞會仰仔
F0430001A2019_104_07,這還吂使恁遽決定啦愛做決定斯無恁該
F0430001A2019_105_07,佢去過當多國家吾金器分賊仔偷淨淨吔
F0430001A2019_106_07,細人仔隻隻畜到肥卒卒仔佢係做裝潢个
F0430001A2019_107_07,雞卵糕有兩垤毋過若額分若老弟食忒哩
F0430001A2019_108_07,這幾日个天時無正常溫度高又過起燒風
F0430001A2019_109_07,打早就看佢頭磬磬弄弄仔行毋知愛去哪
F0430001A2019_110_07,頭擺街路尾有一間戲園逐暗晡會做電影
F0430001A2019_111_07,莫麼个就望細人仔自家身體顧好來較贏
F0430001A2019_112_07,衫褲洗好拿去脫水機攪攪啊晾較遽燥
F0430001A2019_113_07,虐毛蟲个毛會虐人愛細義毋好分佢蜒著
F0430001A2019_114_07,轉寒哩加領裌仔無寒著斯無結無煞
F0430001A2019_115_07,阿伯正出院身體還弱弱毋好去做粗事
F0430001A2019_116_07,頭擺人賣魚仔用篾皮桊到一桊一桊仔賣
F0430001A2019_117_07,細人仔時常會在這搞賭人尋婦人家有身妊个時節
F0430001A2019_118_07,屋下个東西做毋得儘採動儘採釘驚怕會犯著胎神
F0430001A2019_119_07,這路口時時有車禍經過个時節愛細義
F0430001A2019_12_07,莫怨天莫怨地愛怨怨自己
F0430001A2019_120_07,阿姆生日阿姊愛自家做雞卵糕
F0430001A2019_121_07,逐朝晨有人來送報紙兩姊妹為著一領衫在廳下相罵
F0430001A2019_122_07,厥姊正結婚喊姊丈還喊毋慣嘴阿麗當有禮貌
F0430001A2019_123_07,看著人就會喊人這禮拜咖啡買一送一阿姊今年六月愛畢業
F0430001A2019_124_07,五十公斤一張衛生紙佢嫁分姓張个一盒餅仔無人在屋下
F0430001A2019_125_07,戴手錶仔佢戴士林區你愛接受事實一大碗公佢戴十二樓
F0430001A2019_126_07,臺北車頭初九天公生坐火車去花蓮攪紅毛泥一大把鎖匙
F0430001A2019_127_07,電視臺有當多談話个節目天光日佢請假你代理一下好無
F0430001A2019_128_07,𠊎下晝無歇睏這下精神毋好緊擘嘴佢戴在中央二街
F0430001A2019_129_07,對面新起兩排屋仔阿姆在灶下煠雞仔貓仔在屋頂項睡目
F0430001A2019_13_07,豬來窮狗來富貓來戴麻布
F0430001A2019_130_07,動啊著就唉唉㗱㗱个人愛仰仔做大事這條山路斡來斡去
F0430001A2019_131_07,做人毋好忒橫係見人全閃你像驚鬼樣仔該就見笑吔哪
F0430001A2019_132_07,佢出世在萬戶家庭日日食魚食肉朝朝睡到日頭晒屎胐
F0430001A2019_133_07,緊行緊看看著中意个正買佢出車禍過後人就無忒咧
F0430001A2019_134_07,天光朝晨愛打紅粄逐日睡到七晝八晝做毋得儘採擲地圾
F0430001A2019_135_07,溼氣重樹仔當遽歿忒這兜零角仔毋罅買一支枝仔冰
F0430001A2019_136_07,車仔當難駛這個細妹仔个面紅囉囉仔盡像蘋果共樣
F0430001A2019_137_07,這事頭你總包起來屋下恁多人會同你𢯭做毋使驚
F0430001A2019_138_07,講著成績老弟同頭名全全比毋得比該尾名就還較得
F0430001A2019_139_07,上阿里山有火車路通行基礎建設建設國家科技大學
F0430001A2019_14_07,能管千軍萬馬難管廚房灶下
F0430001A2019_140_07,分佢一垤糖仔寫兩行字同你共下去食到肚屎飽飽
F0430001A2019_141_07,若係有仰仔就愛講莫客氣阿姆無在廳下在裡背煮飯
F0430001A2019_142_07,老弟當好食冰畫一條線飯店歇一夜高雄係厥故鄉
F0430001A2019_143_07,公司賺當多錢臺灣銀行大約五尺長下禮拜一請假
F0430001A2019_144_07,無問題你識佢無𠊎毋識佢恭喜發財新年快樂
F0430001A2019_145_07,食飯後愛湯喙𠊎尿出想愛屙尿老妹在洗身間洗身
F0430001A2019_146_07,食刺波仔个時蒂頭愛摘忒原來玻璃係你打爛忒个
F0430001A2019_147_07,海脣風恁大你又講無停係食著海風轉去會失聲
F0430001A2019_148_07,無知識乜愛有常識阿姊發子緊想愛翻熱到緊出汗
F0430001A2019_149_07,過節愛去公廳拜祖先元旦升旗典禮你愛去參加無
F0430001A2019_15_07,神仙打鼓有時錯腳步踏差麼人無
F0430001A2019_150_07,日本當多人坐電車上班厥屋下个來臺祖係對長山來个
F0430001A2019_151_07,佢這下係管理員臺灣有當多客人佢兩兄弟差十歲
F0430001A2019_152_07,拜六个夜市仔恁多人逐儕人盎仔肚插等當靚个花
F0430001A2019_153_07,佢兩兄弟實在會搣死人上擺有講過仰又毋記得
F0430001A2019_154_07,人講豬嫲肥豬子旺家底好个人較有錢繳子弟讀書
F0430001A2019_155_07,當多蚊仔在若胠罅下蒐啊蒐仔愛叼你還毋遽遽走
F0430001A2019_156_07,阿玲玩具搞忒無收揫害厥姆躪著跌到四腳惹天
F0430001A2019_157_07,厥人生一路里來都當順序毋單淨讀書頭路乜係
F0430001A2019_158_07,今年公司賺異成錢做尾牙該下人人都有紅包好拿
F0430001A2019_159_07,佢當好展見人就拿手錶仔出來展驚人毋知樣仔
F0430001A2019_16_07,燈盞無油火難光陂塘無水魚難養
F0430001A2019_160_07,佢當會膨風莫信佢老阿婆盡衰過無人好偎凴
F0430001A2019_161_07,做壞事早慢會分警察捉著使錢毋知痛早慢會橫笐
F0430001A2019_162_07,佢兜熟事盡多年哩喲佢兜因為立場無共樣嗄變敵人
F0430001A2019_163_07,科技進步碼頭停當多船仔建立關係建立制度
F0430001A2019_164_07,河豚同海豚形體差十分多有麼个好空記得喊𠊎啊
F0430001A2019_165_07,佢毋係正式員工大家表現到當好人愛知感謝正好
F0430001A2019_166_07,正轉啊來外背就落雨先生會同你醫好毋使愁
F0430001A2019_167_07,狗仔食東西个時節凶呷呷仔別儕一來就咬佢
F0430001A2019_168_07,頭下碼大家都看佢無半撇背尾正知佢係大腳士
F0430001A2019_169_07,雨落忒多做大水無半息雨做天旱實在異難耐
F0430001A2019_17_07,看戲愛知戲文大意做人愛識人情義理
F0430001A2019_170_07,毋好煮恁多屋下淨兩儕人食毋去倒忒當打爽
F0430001A2019_171_07,參詳事情愛講道理係橫橫擎定著毋會有結果
F0430001A2019_172_07,這片个草仔𠊎割差毋多哩續等就交分你收尾
F0430001A2019_173_07,佢尋毋著身分證在間項緊揙你在揙麼个東西
F0430001A2019_174_07,這項事情下班以前愛完成水塔分風搓吹橫忒
F0430001A2019_175_07,這藥品產生當多問題多用茶箍洗手正會消滅病毒
F0430001A2019_176_07,落雨過後外背出天弓香港新起个飛機場當大
F0430001A2019_177_07,外背落大雨還響雷公車仔分大石頭矺到綿綿
F0430001A2019_178_07,你下隻月愛去新竹係無水暖好哩遽遽去洗身
F0430001A2019_179_07,佢係阿婆從細渡到大个阿哥從來毋識自家煮飯
F0430001A2019_18_07,靠山山會倒靠水水會燥靠人人會老
F0430001A2019_180_07,這封信仔係韓國寄來个自家行一輪就會知咧
F0430001A2019_181_07,係無係毋係做得無做毋得做得你曉得無
F0430001A2019_182_07,細嬰兒仔雖然有多少仔臭乳臊毋過盡得人惜
F0430001A2019_183_07,北迴鐵路經過當多山火車在暗窿肚鑽來鑽去
F0430001A2019_184_07,這臺車仔仰會停在路徑頭煞煞喊車主來徙位
F0430001A2019_185_07,阿義个手目毋堵好參著嗄㪐腕實在還衰喲
F0430001A2019_186_07,這豬油放忒久鼻起來當臭油垢怕係壞忒哩
F0430001A2019_187_07,滿叔个性體當好又當熱心毋過佢係一個呱牯
F0430001A2019_188_07,犯法愛接受司法个審判佢對自家無半息自信
F0430001A2019_189_07,𠊎今晡日懶尸帶飯當晝去外背食大麵就好
F0430001A2019_19_07,搵水向往上莊頭一站仔竹篙哪央時
F0430001A2019_190_07,天外有天人外有人一個人絕對毋好自大
F0430001A2019_191_07,入門係看著一張臭屎面會虐削到企坐毋核
F0430001A2019_192_07,這老車仔輒輒駛到半路就恬忒異無結煞
F0430001A2019_193_07,無腦屎係無恁簡單个事你到今還看毋真
F0430001A2019_194_07,過年屋下大拚掃阿姊拿水管對等窗門洩水
F0430001A2019_195_07,兩隻禮拜第一類分類兩團亼好个粄粹
F0430001A2019_196_07,一日三餐兩點心總統一任係四年兩擐粽仔
F0430001A2019_197_07,鐘聲一響學生仔緊拚拚仔行入教室準備上課
F0430001A2019_198_07,這屋仔正兩棧樓定定分粄仔摎人分飯食
F0430001A2019_199_07,天光日幾多儕會來過無幾久阿美就愛嫁咧
F0430001A2019_2_07,人情好食水甜
F0430001A2019_20_07,撙水年下仔查核成下仔處分上站仔
F0430001A2019_21_07,鑊頭搭烏蠅酒娘鉛線仔發酵尿裙仔
F0430001A2019_22_07,秥米雄雞仔竹笐雞公髻胞衣雞僆仔
F0430001A2019_23_07,箅仔火爐堆斧頭褲襠底茶壽褲帶仔
F0430001A2019_24_07,草蓆熨衫褲擔竿勼帶仔刀石金手鈪
F0430001A2019_25_07,變奇術歷史課模範生藝術品攝影機
F0430001A2019_26_07,打銅鑼物理課編教材美術館目珠花花
F0430001A2019_27_07,喉嗹痛看西醫心臟病食酒醉腳腫腫
F0430001A2019_28_07,愐心事對半破鋸樹仔膏藥仔閹雞仔
F0430001A2019_29_07,交官結府大大細細大主大意動手動腳
F0430001A2019_3_07,暮固狗咬死人
F0430001A2019_30_07,漦漦濞濞先號先贏先走先贏相打泌背
F0430001A2019_31_07,擎钁頭剷草電火扚著來手分門夾著
F0430001A2019_32_07,梅花係國花滿山个芒花出去遶光景
F0430001A2019_33_07,天時恁熱出去晒會熱著
F0430001A2019_34_07,鏡仔跌到地泥項必忒吔
F0430001A2019_35_07,佢生來靚靚仔算異耐看
F0430001A2019_36_07,李仔酸合澀食吔胃糟糟
F0430001A2019_37_07,緊講話又緊掞腳當無禮貌
F0430001A2019_38_07,過目關哩針線空就桊毋過
F0430001A2019_39_07,在𠊎印象肚佢對人當好
F0430001A2019_4_07,前人種竹後人遮蔭
F0430001A2019_40_07,係食著毋合肚个東西會噎酸
F0430001A2019_41_07,天頂个星宿恁多你識幾多粒
F0430001A2019_42_07,五月節鹿港有辦划龍船比賽
F0430001A2019_43_07,恁久無看著你高加異多哦
F0430001A2019_44_07,老弟用砂鐐同花盆个泥鋪平來
F0430001A2019_45_07,開賭場个頭家會抽頭分紅
F0430001A2019_46_07,間肚有老鼠仔老妹嚇到緊噭
F0430001A2019_47_07,𠊎對榴槤个印象當壞毋好食
F0430001A2019_48_07,佢係發性起來麼人个話都毋聽
F0430001A2019_49_07,這餅仔恁燥無傍茶吞毋落胲
F0430001A2019_5_07,半夜㓾豬天光賣肉
F0430001A2019_50_07,佢毋曉得使筷仔挾毋著菜來食
F0430001A2019_51_07,姐婆个大聲胲遠遠就聽得著
F0430001A2019_52_07,先生吂講佢就同課本掀好勢吔
F0430001A2019_53_07,佢對樓頂倒頭種跌下來異傷重
F0430001A2019_54_07,頭前出車禍車仔全在路項卡等
F0430001A2019_55_07,阿爸使媒人婆去阿碌伯屋下講親
F0430001A2019_56_07,過年貼門對做得增添兜仔喜氣
F0430001A2019_57_07,錢愛勻勻仔使毋好一到使淨淨
F0430001A2019_58_07,官兵捉強盜係細人仔好搞个遊戲
F0430001A2019_59_07,係講你肚飢你就先食無要緊
F0430001A2019_6_07,天變一時人變一世
F0430001A2019_60_07,佢兩儕鬥股愛開一間便利商店
F0430001A2019_61_07,有身妊个人愛多尞毋好忒過勞碌
F0430001A2019_62_07,紅毛泥屋頂係有必縫定著會漏水
F0430001A2019_63_07,大家無愛聲佢定定佢嗄陣陣腦上
F0430001A2019_64_07,這下尋頭路多少仔愛會講英語
F0430001A2019_65_07,佢係有經過這位成擺仔會入來坐
F0430001A2019_66_07,這下愛赴時間你行較遽兜仔好無
F0430001A2019_67_07,蘿蔔絲愛勻開來晒無斯晒毋會燥
F0430001A2019_68_07,阿伯公个字墨盡飽講四句隨口來
F0430001A2019_69_07,阿姊失戀該站仔在齋堂歇好久
F0430001A2019_7_07,好也一句壞也一句
F0430001A2019_70_07,看著佢平安轉來大家就寬心吔
F0430001A2019_71_07,當久無落雨一哪仔都燥絲絲仔
F0430001A2019_72_07,這桌菜煮到無鹹無腥毋餳人食
F0430001A2019_73_07,無搭無碓分人罵心肚試著異委屈
F0430001A2019_74_07,佢兩儕當相好大家異看好這段婚姻
F0430001A2019_75_07,聽人講腎家毋砸个人較會腰骨痠軟
F0430001A2019_76_07,做麼个事情都共樣好頭好尾正圓滿
F0430001A2019_77_07,番豆麻仔黃豆仔總下做得打油
F0430001A2019_78_07,老屋當闊細人仔當好在該搞賭人尋
F0430001A2019_79_07,細人仔恁硬頸定著愛教正毋會學壞
F0430001A2019_8_07,後生毋肯學老來無安樂
F0430001A2019_80_07,在屋下𠊎座大下背還有三個老妹
F0430001A2019_81_07,你怕異會煮哦倈仔隻隻畜到恁大仙
F0430001A2019_82_07,佢生來當嫩相其實佢四十零歲吔
F0430001A2019_83_07,阿公在間肚歇睏老弟在廳下看電視
F0430001A2019_84_07,厥身高當堵好厥細人仔體重仰恁輕
F0430001A2019_85_07,佢當有才毋單淨會唱歌仔還當會做戲
F0430001A2019_86_07,這暑假過到當充實充實自家个能力
F0430001A2019_87_07,辦這活動當有意義厥女朋友優點異多
F0430001A2019_88_07,佢兩姊嫂長透意見相反銃子用忒哩
F0430001A2019_89_07,犯重罪饒赦毋得佢當輒去人屋下白食
F0430001A2019_9_07,手痛好過家腳痛好繡花
F0430001A2019_90_07,後生人最驚老人家噥巴掌嫲盪啊過去
F0430001A2019_91_07,舊曆七月該下異多寺廟會辦普渡活動
F0430001A2019_92_07,佢做生理失敗吔目𥍉𥍉仔異衰過
F0430001A2019_93_07,恁熱个天時還同窗門關揫揫會翕死哦
F0430001A2019_94_07,昨晡日行忒悿朝晨䟘床還撐腿撐腿
F0430001A2019_95_07,下晝頭正做事个人較少車枋就放冗吔
F0430001A2019_96_07,天時恁熱食一罐冰冰个涼水異舒爽
F0430001A2019_97_07,這品菜鼻起來香噴噴仔食起來無見奇
F0430001A2019_98_07,你逐擺都係講話無算數難怪會博人惱
F0430001A2019_99_07,阿明做事一還一二還二毋會烏白來
F0430001D3019_1_07,恁久毋知起麼个性朝晨頭䟘床就想食水粄仔
F0430001D3019_10_07,想愛食又早早䟘毋得床仰結煞就好愐啊愐
F0430001D3019_11_07,就自家來學做正著決定自家動手學做就愛認真
F0430001D3019_12_07,對網路肚尋資料參考問阿姆佢兜有經驗个人
F0430001D3019_13_07,一步一步將買來个在來米粉加水摝好倒入碗肚
F0430001D3019_14_07,再放在電鍋仔蒸蒸粄仔个時節做得來炒香料
F0430001D3019_15_07,等到香料炒好水粄仔乜差毋多蒸好欸頭一擺蒸好个水粄仔
F0430001D3019_16_07,頂項水水底下硬硬做得食但係口感毋好
